2021-06-02 17:52:41  INFO LoggerFactory:? - using logger: org.apache.dubbo.common.logger.log4j.Log4jLoggerAdapter
2021-06-02 17:52:46  INFO ServiceAnnotationBeanPostProcessor:194 -  [DUBBO] BeanNameGenerator bean can't be found in BeanFactory with name [org.springframework.context.annotation.internalConfigurationBeanNameGenerator], dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:52:46  INFO ServiceAnnotationBeanPostProcessor:196 -  [DUBBO] BeanNameGenerator will be a instance of org.springframework.context.annotation.AnnotationBeanNameGenerator , it maybe a potential problem on bean name generation., dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:52:46  INFO ServiceAnnotationBeanPostProcessor:269 -  [DUBBO] The BeanDefinition[Root bean: class [org.apache.dubbo.config.spring.ServiceBean]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] of ServiceBean has been registered with name : ServiceBean:com.neu.couponserviceapi.service.CouponService, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:52:46  INFO ServiceAnnotationBeanPostProcessor:151 -  [DUBBO] 1 annotated Dubbo's @Service Components { [Bean definition with name 'couponServiceImp': Generic bean: class [com.neu.couponapp.service.impl.CouponServiceImp]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [/Users/neu/IdeaProjects/my-coupon/coupon-app/target/classes/com/neu/couponapp/service/impl/CouponServiceImp.class]] } were scanned under package[com.neu.couponapp.service.impl], dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:52:46  WARN ServiceAnnotationBeanPostProcessor:159 -  [DUBBO] No Spring Bean annotating Dubbo's @Service was found under package[com.neu.userapp.service.impl], dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:52:47 ERROR DruidAbstractDataSource:994 - maxIdle is deprecated
2021-06-02 17:53:00  INFO ZookeeperTransporter:69 -  [DUBBO] No valid zookeeper client found from cache, therefore create a new client for url. zookeeper://127.0.0.1:2181/ConfigCenterConfig?address=127.0.0.1:2181&check=true&configFile=dubbo.properties&group=dubbo&highestPriority=true&includeSpringEnv=false&namespace=dubbo&prefix=dubbo.config-center&timeout=3000&valid=true, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:00  INFO CuratorZookeeperClient:296 -  [DUBBO] listen the zookeeper changed. The changed data:null, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:00  WARN ConfigurationUtils:76 -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:00  WARN ConfigurationUtils:76 -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:05  INFO AbstractConfig:237 -  [DUBBO] There's no valid monitor config found, if you want to open monitor statistics for Dubbo, please make sure your monitor is configured properly., dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:11  INFO Server:101 -  [DUBBO] qos-server bind localhost:22222, dubbo version: 2.7.2, current host: 172.26.9.85
